# the maximum is determined with a cubic fit. (see plot pdf)
# max_z: 33.64918491656489
# max_p: 280.96999999994
# 
# z_space,				 probaiblity with 100000 kaons
# 
2.150000000000000000e+02 3.120799999999999841e+01
2.167088607594936605e+02 3.136799999999999855e+01
2.184177215189873493e+02 3.152400000000000091e+01
2.201265822784810098e+02 3.168799999999999883e+01
2.218354430379746702e+02 3.178800000000000026e+01
2.235443037974683591e+02 3.188400000000000034e+01
2.252531645569620196e+02 3.200399999999999778e+01
2.269620253164557084e+02 3.207600000000000051e+01
2.286708860759493689e+02 3.221600000000000108e+01
2.303797468354430293e+02 3.231600000000000250e+01
2.320886075949367182e+02 3.243200000000000216e+01
2.337974683544303787e+02 3.254399999999999693e+01
2.355063291139240391e+02 3.257600000000000051e+01
2.372151898734177280e+02 3.264000000000000057e+01
2.389240506329113884e+02 3.273599999999999710e+01
2.406329113924050489e+02 3.279599999999999937e+01
2.423417721518987378e+02 3.284400000000000119e+01
2.440506329113923982e+02 3.294800000000000040e+01
2.457594936708860871e+02 3.297200000000000131e+01
2.474683544303797476e+02 3.303999999999999915e+01
2.491772151898734080e+02 3.311599999999999966e+01
2.508860759493670969e+02 3.314399999999999835e+01
2.525949367088607573e+02 3.319599999999999795e+01
2.543037974683544462e+02 3.324799999999999756e+01
2.560126582278480782e+02 3.330400000000000205e+01
2.577215189873417671e+02 3.336800000000000210e+01
2.594303797468354560e+02 3.339999999999999858e+01
2.611392405063290880e+02 3.343200000000000216e+01
2.628481012658227769e+02 3.342399999999999949e+01
2.645569620253164658e+02 3.346000000000000085e+01
2.662658227848100978e+02 3.349199999999999733e+01
2.679746835443037867e+02 3.347599999999999909e+01
2.696835443037974755e+02 3.345600000000000307e+01
2.713924050632911076e+02 3.347200000000000131e+01
2.731012658227847965e+02 3.361200000000000188e+01
2.748101265822784853e+02 3.361599999999999966e+01
2.765189873417721742e+02 3.364000000000000057e+01
2.782278481012658062e+02 3.363600000000000279e+01
2.799367088607594951e+02 3.372800000000000153e+01
2.816455696202531840e+02 3.372399999999999665e+01
2.833544303797468160e+02 3.376400000000000290e+01
2.850632911392405049e+02 3.377199999999999847e+01
2.867721518987341938e+02 3.375600000000000023e+01
2.884810126582278826e+02 3.371600000000000108e+01
2.901898734177215147e+02 3.369200000000000017e+01
2.918987341772152035e+02 3.367199999999999704e+01
2.936075949367088924e+02 3.358400000000000318e+01
2.953164556962025245e+02 3.349199999999999733e+01
2.970253164556962133e+02 3.345600000000000307e+01
2.987341772151899022e+02 3.341599999999999682e+01
3.004430379746835342e+02 3.335600000000000165e+01
3.021518987341772231e+02 3.339200000000000301e+01
3.038607594936709120e+02 3.334400000000000119e+01
3.055696202531645440e+02 3.331600000000000250e+01
3.072784810126582329e+02 3.328799999999999670e+01
3.089873417721519218e+02 3.332399999999999807e+01
3.106962025316455538e+02 3.325600000000000023e+01
3.124050632911392427e+02 3.324000000000000199e+01
3.141139240506329315e+02 3.317999999999999972e+01
3.158227848101265636e+02 3.313600000000000279e+01
3.175316455696202524e+02 3.306400000000000006e+01
3.192405063291139413e+02 3.296000000000000085e+01
3.209493670886075734e+02 3.289999999999999858e+01
3.226582278481012622e+02 3.285999999999999943e+01
3.243670886075949511e+02 3.278799999999999670e+01
3.260759493670885831e+02 3.267600000000000193e+01
3.277848101265822720e+02 3.257600000000000051e+01
3.294936708860759609e+02 3.244400000000000261e+01
3.312025316455695929e+02 3.235999999999999943e+01
3.329113924050632818e+02 3.225200000000000244e+01
3.346202531645569707e+02 3.215999999999999659e+01
3.363291139240506027e+02 3.209599999999999653e+01
3.380379746835442916e+02 3.200800000000000267e+01
3.397468354430379804e+02 3.189999999999999858e+01
3.414556962025316125e+02 3.189600000000000080e+01
3.431645569620253582e+02 3.186400000000000077e+01
3.448734177215189902e+02 3.182799999999999940e+01
3.465822784810126223e+02 3.171600000000000108e+01
3.482911392405063680e+02 3.158800000000000097e+01
3.500000000000000000e+02 3.150799999999999912e+01
