# the maximum is determined with a cubic fit. (see plot pdf)
# max_z: 34.126366314438144
# max_p: 284.4390000004032
# 
# z_space,				 probaiblity with 1200000 kaons
# 
2.000000000000000000e+02 3.008833333333333471e+01
2.036734693877550910e+02 3.052433333333333465e+01
2.073469387755102105e+02 3.091333333333333400e+01
2.110204081632653015e+02 3.130966666666666498e+01
2.146938775510204209e+02 3.164300000000000068e+01
2.183673469387755119e+02 3.193866666666666632e+01
2.220408163265306030e+02 3.218099999999999739e+01
2.257142857142857224e+02 3.243266666666666964e+01
2.293877551020408134e+02 3.264699999999999847e+01
2.330612244897959044e+02 3.283833333333333115e+01
2.367346938775510239e+02 3.302000000000000313e+01
2.404081632653061149e+02 3.316566666666666663e+01
2.440816326530612344e+02 3.331233333333333491e+01
2.477551020408163254e+02 3.344333333333333513e+01
2.514285714285714448e+02 3.355799999999999983e+01
2.551020408163265358e+02 3.366533333333333644e+01
2.587755102040816269e+02 3.376633333333333553e+01
2.624489795918367463e+02 3.384899999999999665e+01
2.661224489795918089e+02 3.392833333333333456e+01
2.697959183673469283e+02 3.395799999999999841e+01
2.734693877551020478e+02 3.401599999999999824e+01
2.771428571428571104e+02 3.406666666666666998e+01
2.808163265306122298e+02 3.409566666666666634e+01
2.844897959183673493e+02 3.409766666666666879e+01
2.881632653061224687e+02 3.409700000000000131e+01
2.918367346938775881e+02 3.408966666666666612e+01
2.955102040816326507e+02 3.406300000000000239e+01
2.991836734693877702e+02 3.403533333333333388e+01
3.028571428571428896e+02 3.399666666666666970e+01
3.065306122448979522e+02 3.394033333333333502e+01
3.102040816326530717e+02 3.386366666666666703e+01
3.138775510204081911e+02 3.382133333333333525e+01
3.175510204081632537e+02 3.372899999999999920e+01
3.212244897959183731e+02 3.363933333333333309e+01
3.248979591836734926e+02 3.348799999999999955e+01
3.285714285714285552e+02 3.332766666666666566e+01
3.322448979591836746e+02 3.320333333333333314e+01
3.359183673469387941e+02 3.308666666666666600e+01
3.395918367346938567e+02 3.292300000000000182e+01
3.432653061224489761e+02 3.278300000000000125e+01
3.469387755102040956e+02 3.262599999999999767e+01
3.506122448979591582e+02 3.245700000000000074e+01
3.542857142857142776e+02 3.231099999999999994e+01
3.579591836734693970e+02 3.213799999999999812e+01
3.616326530612244596e+02 3.193866666666666632e+01
3.653061224489796359e+02 3.176233333333333420e+01
3.689795918367346985e+02 3.157000000000000028e+01
3.726530612244897611e+02 3.135466666666666669e+01
3.763265306122449374e+02 3.115800000000000125e+01
3.800000000000000000e+02 3.093466666666666498e+01
